no,cafename,area,location,time,dayoff,image,dessert,pet,nokids,takeout,delivery,meeting,franchise,parking,price,xlocation,ylocation,score,count,average
236,카페 KN,상대동,경남 진주시 대신로 211,월~일 10:00~22:00,,/public/cafe/상대동/카페 KN.jpg,1,0,0,0,0,1,0,1,4500,35.17921597,128.1171187,0,0,0
237,카페그닥,상대동,경남 진주시 상대로 6 1층,월~토 18:30~22:00,,/public/cafe/상대동/카페그닥.jpg,1,0,0,0,1,0,0,0,3500,35.18398126,128.1127092,0,0,0
238,카페디노진주,상대동,경남 진주시 도동천로184번길 11 (상대동) 2층 진주시니어클럽,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.18561884,128.1190269,0,0,0
239,카페설렘,상대동,경남 진주시 도동천로 123,월~일 11:00~23:00,,/public/cafe/상대동/카페설렘.jpg,1,0,0,0,1,1,0,1,4000,35.18185839,128.1125872,0,0,0
240,카페시청각,상대동,경남 진주시 동진로 155,,,/public/cafe/logo.png,1,0,0,0,0,0,0,0,1500,35.18024326,128.1088228,0,0,0
241,카페이로움135,상대동,경남 진주시 도동천로 135-1,,,/public/cafe/상대동/카페이로움135.jpg,1,0,0,0,0,0,0,0,4000,35.18266326,128.1135664,0,0,0
242,카페입술,상대동,경남 진주시 상대로 19,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.18427181,128.1141442,0,0,0
243,커피나무카페,상대동,경남 진주시 모덕로 176,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.18671954,128.1151932,0,0,0
244,커피빌리지,상대동,경남 진주시 동진로 111,,,/public/cafe/logo.png,1,0,0,0,0,0,0,1,3000,35.17967911,128.1034772,0,0,0
245,커피정원,상대동,경남 진주시 모덕로222번길 23,,,/public/cafe/상대동/커피정원.jpg,0,0,0,0,0,0,0,0,4000,35.18662497,128.1184704,0,0,0
246,커피플라워 에스프레소점,상대동,경남 진주시 동진로 195 1층,월~일 9:00~22:00,,/public/cafe/상대동/커피플라워 에스프레소점.jpg,0,0,0,0,1,1,1,1,4800,35.17994595,128.1126326,0,0,0
247,컴포즈커피 진주시청점,상대동,경남 진주시 도동천로 84 1층,월~일 8:00~22:00,,/public/cafe/상대동/컴포즈커피 진주시청점.jpg,0,0,0,0,0,0,0,0,2000,35.17914319,128.1097223,0,0,0
